
Epoch 1, Batch 10, Loss: 0.0003, Accuracy: 25.62%
Epoch 1, Batch 20, Loss: 0.0002, Accuracy: 26.25%
Epoch 1, Batch 30, Loss: 0.0001, Accuracy: 31.88%
Epoch 1, Batch 40, Loss: 0.0001, Accuracy: 35.94%
Epoch 2, Batch 10, Loss: 0.0000, Accuracy: 58.12%
Epoch 2, Batch 20, Loss: 0.0000, Accuracy: 56.25%
Epoch 2, Batch 30, Loss: 0.0000, Accuracy: 57.08%
Epoch 2, Batch 40, Loss: 0.0000, Accuracy: 57.81%
Epoch 3, Batch 10, Loss: 0.0001, Accuracy: 51.25%
Epoch 3, Batch 20, Loss: 0.0000, Accuracy: 57.81%
Epoch 3, Batch 30, Loss: 0.0000, Accuracy: 58.75%
Epoch 3, Batch 40, Loss: 0.0000, Accuracy: 63.44%
Epoch 4, Batch 10, Loss: 0.0000, Accuracy: 70.00%
Epoch 4, Batch 20, Loss: 0.0000, Accuracy: 73.12%
Epoch 4, Batch 30, Loss: 0.0000, Accuracy: 74.17%
Epoch 4, Batch 40, Loss: 0.0000, Accuracy: 75.78%
Epoch 5, Batch 10, Loss: 0.0000, Accuracy: 83.75%
Epoch 5, Batch 20, Loss: 0.0000, Accuracy: 83.12%
Epoch 5, Batch 30, Loss: 0.0000, Accuracy: 82.92%
Epoch 5, Batch 40, Loss: 0.0000, Accuracy: 81.41%
Epoch 6, Batch 10, Loss: 0.0000, Accuracy: 85.00%
Epoch 6, Batch 20, Loss: 0.0000, Accuracy: 82.50%
Epoch 6, Batch 30, Loss: 0.0000, Accuracy: 81.25%
Epoch 6, Batch 40, Loss: 0.0000, Accuracy: 82.50%
Epoch 7, Batch 10, Loss: 0.0000, Accuracy: 81.88%
Epoch 7, Batch 20, Loss: 0.0000, Accuracy: 82.19%
Epoch 7, Batch 30, Loss: 0.0000, Accuracy: 83.33%
Epoch 7, Batch 40, Loss: 0.0000, Accuracy: 82.97%
Epoch 8, Batch 10, Loss: 0.0000, Accuracy: 83.75%
Epoch 8, Batch 20, Loss: 0.0000, Accuracy: 84.69%
Epoch 8, Batch 30, Loss: 0.0000, Accuracy: 83.96%
Epoch 8, Batch 40, Loss: 0.0000, Accuracy: 84.69%
Finished Training
