
Epoch 1, Batch 10, Loss: 0.0002, Accuracy: 21.25%
Epoch 1, Batch 20, Loss: 0.0001, Accuracy: 28.12%
Epoch 1, Batch 30, Loss: 0.0001, Accuracy: 30.62%
Epoch 1, Batch 40, Loss: 0.0000, Accuracy: 36.41%
Epoch 2, Batch 10, Loss: 0.0000, Accuracy: 62.50%
Epoch 2, Batch 20, Loss: 0.0000, Accuracy: 62.19%
Epoch 2, Batch 30, Loss: 0.0000, Accuracy: 60.00%
Epoch 2, Batch 40, Loss: 0.0000, Accuracy: 60.94%
Epoch 3, Batch 10, Loss: 0.0000, Accuracy: 68.12%
Epoch 3, Batch 20, Loss: 0.0000, Accuracy: 70.00%
Epoch 3, Batch 30, Loss: 0.0000, Accuracy: 71.04%
Epoch 3, Batch 40, Loss: 0.0000, Accuracy: 70.31%
Epoch 4, Batch 10, Loss: 0.0000, Accuracy: 76.25%
Epoch 4, Batch 20, Loss: 0.0000, Accuracy: 77.50%
Epoch 4, Batch 30, Loss: 0.0000, Accuracy: 79.79%
Epoch 4, Batch 40, Loss: 0.0000, Accuracy: 80.16%
Epoch 5, Batch 10, Loss: 0.0000, Accuracy: 81.88%
Epoch 5, Batch 20, Loss: 0.0000, Accuracy: 80.00%
Epoch 5, Batch 30, Loss: 0.0000, Accuracy: 81.25%
Epoch 5, Batch 40, Loss: 0.0000, Accuracy: 81.72%
Epoch 6, Batch 10, Loss: 0.0000, Accuracy: 76.88%
Epoch 6, Batch 20, Loss: 0.0000, Accuracy: 78.12%
Epoch 6, Batch 30, Loss: 0.0000, Accuracy: 81.25%
Epoch 6, Batch 40, Loss: 0.0000, Accuracy: 81.88%
Epoch 7, Batch 10, Loss: 0.0000, Accuracy: 81.88%
Epoch 7, Batch 20, Loss: 0.0000, Accuracy: 83.75%
Epoch 7, Batch 30, Loss: 0.0000, Accuracy: 85.21%
Epoch 7, Batch 40, Loss: 0.0000, Accuracy: 85.31%
Epoch 8, Batch 10, Loss: 0.0000, Accuracy: 86.25%
Epoch 8, Batch 20, Loss: 0.0000, Accuracy: 87.19%
Epoch 8, Batch 30, Loss: 0.0000, Accuracy: 87.50%
Epoch 8, Batch 40, Loss: 0.0000, Accuracy: 87.50%
Finished Training
