Epoch 1, Batch 1, Loss: 1.1585, Accuracy: 15.62%
Epoch 1, Batch 2, Loss: 2.1777, Accuracy: 3.12%
Epoch 1, Batch 3, Loss: 0.7528, Accuracy: 87.50%
Epoch 1, Batch 4, Loss: 5.6755, Accuracy: 87.50%
Epoch 1, Batch 5, Loss: 1.8104, Accuracy: 81.25%
Epoch 1, Batch 6, Loss: 1.6734, Accuracy: 34.38%
Epoch 1, Batch 7, Loss: 2.5068, Accuracy: 12.50%
Epoch 1, Batch 8, Loss: 2.6017, Accuracy: 15.62%
Epoch 1, Batch 9, Loss: 1.1594, Accuracy: 15.62%
Epoch 1, Batch 10, Loss: 0.9631, Accuracy: 9.38%
Epoch 1, Batch 11, Loss: 1.2552, Accuracy: 18.75%
Epoch 1, Batch 12, Loss: 0.9527, Accuracy: 31.25%
Epoch 1, Batch 13, Loss: 1.0314, Accuracy: 87.50%
Epoch 1, Batch 14, Loss: 4.6105, Accuracy: 84.38%
Epoch 1, Batch 15, Loss: 1.1117, Accuracy: 84.38%
Epoch 1, Batch 16, Loss: 1.8815, Accuracy: 81.25%
Epoch 1, Batch 17, Loss: 2.3658, Accuracy: 87.50%
Epoch 1, Batch 18, Loss: 1.0217, Accuracy: 87.50%
Epoch 1, Batch 19, Loss: 1.8785, Accuracy: 81.25%
Epoch 1, Batch 20, Loss: 0.8297, Accuracy: 93.75%
Epoch 1, Batch 21, Loss: 1.0278, Accuracy: 87.50%
Epoch 1, Batch 22, Loss: 0.9662, Accuracy: 89.29%
Epoch 1 duration: 510.06 seconds
Epoch 2, Batch 1, Loss: 1.1161, Accuracy: 84.38%
Epoch 2, Batch 2, Loss: 1.4621, Accuracy: 93.75%
Epoch 2, Batch 3, Loss: 0.9871, Accuracy: 87.50%
Epoch 2, Batch 4, Loss: 3.8161, Accuracy: 87.50%
Epoch 2, Batch 5, Loss: 1.8884, Accuracy: 81.25%
Epoch 2, Batch 6, Loss: 1.7234, Accuracy: 87.50%
Epoch 2, Batch 7, Loss: 2.6555, Accuracy: 81.25%
Epoch 2, Batch 8, Loss: 2.6987, Accuracy: 78.12%
Epoch 2, Batch 9, Loss: 1.0790, Accuracy: 84.38%
Epoch 2, Batch 10, Loss: 0.8739, Accuracy: 90.62%
Epoch 2, Batch 11, Loss: 1.1920, Accuracy: 81.25%
Epoch 2, Batch 12, Loss: 0.8807, Accuracy: 90.62%
Epoch 2, Batch 13, Loss: 0.9752, Accuracy: 87.50%
Epoch 2, Batch 14, Loss: 4.7314, Accuracy: 84.38%
Epoch 2, Batch 15, Loss: 1.0745, Accuracy: 84.38%
Epoch 2, Batch 16, Loss: 1.8429, Accuracy: 81.25%
Epoch 2, Batch 17, Loss: 2.3205, Accuracy: 87.50%
Epoch 2, Batch 18, Loss: 0.9684, Accuracy: 87.50%
Epoch 2, Batch 19, Loss: 1.8379, Accuracy: 81.25%
Epoch 2, Batch 20, Loss: 0.7529, Accuracy: 93.75%
Epoch 2, Batch 21, Loss: 0.9474, Accuracy: 87.50%
Epoch 2, Batch 22, Loss: 0.8644, Accuracy: 89.29%
Epoch 2 duration: 155.74 seconds
Epoch 3, Batch 1, Loss: 0.9936, Accuracy: 84.38%
Epoch 3, Batch 2, Loss: 1.3234, Accuracy: 93.75%
Epoch 3, Batch 3, Loss: 0.7521, Accuracy: 87.50%
Epoch 3, Batch 4, Loss: 5.6027, Accuracy: 87.50%
Epoch 3, Batch 5, Loss: 1.8791, Accuracy: 81.25%
Epoch 3, Batch 6, Loss: 1.7238, Accuracy: 87.50%
Epoch 3, Batch 7, Loss: 2.5804, Accuracy: 81.25%
Epoch 3, Batch 8, Loss: 2.5732, Accuracy: 78.12%
Epoch 3, Batch 9, Loss: 1.0550, Accuracy: 84.38%
Epoch 3, Batch 10, Loss: 0.8822, Accuracy: 90.62%
Epoch 3, Batch 11, Loss: 1.1945, Accuracy: 81.25%
Epoch 3, Batch 12, Loss: 0.9146, Accuracy: 90.62%
Epoch 3, Batch 13, Loss: 1.0167, Accuracy: 75.00%
Epoch 3, Batch 14, Loss: 4.6445, Accuracy: 75.00%
Epoch 3, Batch 15, Loss: 1.1213, Accuracy: 65.62%
Epoch 3, Batch 16, Loss: 1.8419, Accuracy: 53.12%
Epoch 3, Batch 17, Loss: 2.2765, Accuracy: 43.75%
Epoch 3, Batch 18, Loss: 1.0286, Accuracy: 40.62%
Epoch 3, Batch 19, Loss: 1.8446, Accuracy: 37.50%
Epoch 3, Batch 20, Loss: 0.8375, Accuracy: 25.00%
Epoch 3, Batch 21, Loss: 1.0271, Accuracy: 43.75%
Epoch 3, Batch 22, Loss: 0.9693, Accuracy: 67.86%
Epoch 3 duration: 155.82 seconds
Epoch 4, Batch 1, Loss: 1.1083, Accuracy: 84.38%
Epoch 4, Batch 2, Loss: 1.4128, Accuracy: 93.75%
Epoch 4, Batch 3, Loss: 0.9582, Accuracy: 87.50%
Epoch 4, Batch 4, Loss: 4.5208, Accuracy: 87.50%
Epoch 4, Batch 5, Loss: 1.7545, Accuracy: 81.25%
Epoch 4, Batch 6, Loss: 1.5789, Accuracy: 87.50%
Epoch 4, Batch 7, Loss: 2.4157, Accuracy: 81.25%
Epoch 4, Batch 8, Loss: 2.5129, Accuracy: 78.12%
Epoch 4, Batch 9, Loss: 1.0666, Accuracy: 84.38%
Epoch 4, Batch 10, Loss: 0.8671, Accuracy: 90.62%
Epoch 4, Batch 11, Loss: 1.1587, Accuracy: 81.25%
Epoch 4, Batch 12, Loss: 0.8576, Accuracy: 90.62%
Epoch 4, Batch 13, Loss: 0.9385, Accuracy: 87.50%
Epoch 4, Batch 14, Loss: 5.2004, Accuracy: 84.38%
Epoch 4, Batch 15, Loss: 1.0301, Accuracy: 84.38%
Epoch 4, Batch 16, Loss: 1.7699, Accuracy: 81.25%
Epoch 4, Batch 17, Loss: 2.2259, Accuracy: 87.50%
Epoch 4, Batch 18, Loss: 0.9390, Accuracy: 87.50%
Epoch 4, Batch 19, Loss: 1.7805, Accuracy: 81.25%
Epoch 4, Batch 20, Loss: 0.7352, Accuracy: 93.75%
Epoch 4, Batch 21, Loss: 0.9232, Accuracy: 87.50%
Epoch 4, Batch 22, Loss: 0.8464, Accuracy: 89.29%
Epoch 4 duration: 157.54 seconds
Epoch 5, Batch 1, Loss: 0.9709, Accuracy: 84.38%
Epoch 5, Batch 2, Loss: 1.2686, Accuracy: 93.75%
Epoch 5, Batch 3, Loss: 0.7524, Accuracy: 87.50%
Epoch 5, Batch 4, Loss: 5.9561, Accuracy: 87.50%
Epoch 5, Batch 5, Loss: 1.7548, Accuracy: 81.25%
Epoch 5, Batch 6, Loss: 1.6017, Accuracy: 87.50%
Epoch 5, Batch 7, Loss: 2.5172, Accuracy: 81.25%
Epoch 5, Batch 8, Loss: 2.5296, Accuracy: 78.12%
Epoch 5, Batch 9, Loss: 0.9825, Accuracy: 84.38%
Epoch 5, Batch 10, Loss: 0.8063, Accuracy: 90.62%
Epoch 5, Batch 11, Loss: 1.1159, Accuracy: 81.25%
Epoch 5, Batch 12, Loss: 0.8424, Accuracy: 90.62%
Epoch 5, Batch 13, Loss: 0.9383, Accuracy: 87.50%
