Epoch 1, Batch 1, Loss: 2.6060, Accuracy: 0.00%
Epoch 1, Batch 2, Loss: 1.4708, Accuracy: 0.00%
Epoch 1, Batch 3, Loss: 1.2686, Accuracy: 3.12%
Epoch 1, Batch 4, Loss: 2.3128, Accuracy: 68.75%
Epoch 1, Batch 5, Loss: 0.5338, Accuracy: 93.75%
Epoch 1, Batch 6, Loss: 1.6360, Accuracy: 62.50%
Epoch 1, Batch 7, Loss: 1.1142, Accuracy: 3.12%
Epoch 1, Batch 8, Loss: 1.8107, Accuracy: 25.00%
Epoch 1, Batch 9, Loss: 0.7927, Accuracy: 0.00%
Epoch 1, Batch 10, Loss: 0.8724, Accuracy: 0.00%
Epoch 1, Batch 11, Loss: 1.0650, Accuracy: 3.12%
Epoch 1, Batch 12, Loss: 0.7902, Accuracy: 3.12%
Epoch 1, Batch 13, Loss: 0.5336, Accuracy: 0.00%
Epoch 1, Batch 14, Loss: 25.5788, Accuracy: 87.50%
Epoch 1, Batch 15, Loss: 1.3672, Accuracy: 78.12%
Epoch 1, Batch 16, Loss: 1.0919, Accuracy: 75.00%
Epoch 1, Batch 17, Loss: 1.4031, Accuracy: 78.12%
Epoch 1, Batch 18, Loss: 0.7431, Accuracy: 87.50%
Epoch 1, Batch 19, Loss: 2.3586, Accuracy: 84.38%
Epoch 1, Batch 20, Loss: 2.3754, Accuracy: 87.50%
Epoch 1, Batch 21, Loss: 1.4944, Accuracy: 84.38%
Epoch 1, Batch 22, Loss: 2.0804, Accuracy: 89.29%
Epoch 1 duration: 512.87 seconds
Epoch 2, Batch 1, Loss: 2.2937, Accuracy: 78.12%
Epoch 2, Batch 2, Loss: 0.8569, Accuracy: 90.62%
Epoch 2, Batch 3, Loss: 1.5060, Accuracy: 87.50%
Epoch 2, Batch 4, Loss: 2.6435, Accuracy: 68.75%
Epoch 2, Batch 5, Loss: 0.7817, Accuracy: 93.75%
Epoch 2, Batch 6, Loss: 2.2887, Accuracy: 62.50%
Epoch 2, Batch 7, Loss: 1.3089, Accuracy: 93.75%
Epoch 2, Batch 8, Loss: 2.5800, Accuracy: 68.75%
Epoch 2, Batch 9, Loss: 0.9164, Accuracy: 87.50%
Epoch 2, Batch 10, Loss: 0.8815, Accuracy: 87.50%
Epoch 2, Batch 11, Loss: 1.4342, Accuracy: 78.12%
Epoch 2, Batch 12, Loss: 1.1475, Accuracy: 3.12%
Epoch 2, Batch 13, Loss: 0.5954, Accuracy: 6.25%
Epoch 2, Batch 14, Loss: 9.9356, Accuracy: 9.38%
Epoch 2, Batch 15, Loss: 1.4228, Accuracy: 68.75%
Epoch 2, Batch 16, Loss: 1.0601, Accuracy: 75.00%
Epoch 2, Batch 17, Loss: 1.5292, Accuracy: 78.12%
Epoch 2, Batch 18, Loss: 0.8182, Accuracy: 87.50%
Epoch 2, Batch 19, Loss: 2.4873, Accuracy: 84.38%
Epoch 2, Batch 20, Loss: 2.4262, Accuracy: 87.50%
Epoch 2, Batch 21, Loss: 1.4771, Accuracy: 84.38%
