Stoppendo
Epoch 1, Batch 1, Loss: 0.0020, Accuracy: 100.00%
Epoch 1, Batch 2, Loss: 0.0010, Accuracy: 100.00%
Epoch 1, Batch 3, Loss: 0.0010, Accuracy: 100.00%
Epoch 1, Batch 4, Loss: 0.0010, Accuracy: 100.00%
Epoch 1, Batch 5, Loss: 0.0000, Accuracy: 100.00%
Epoch 1, Batch 6, Loss: 0.0000, Accuracy: 100.00%
Epoch 1, Batch 7, Loss: 0.0000, Accuracy: 100.00%
Epoch 1, Batch 8, Loss: 0.0000, Accuracy: 100.00%
Epoch 1, Batch 9, Loss: 0.0710, Accuracy: 0.00%
Epoch 1, Batch 10, Loss: 0.0000, Accuracy: 100.00%
Epoch 1, Batch 11, Loss: 0.0000, Accuracy: 100.00%
Epoch 1, Batch 12, Loss: 0.0000, Accuracy: 100.00%
Epoch 1, Batch 13, Loss: 0.0000, Accuracy: 100.00%
Epoch 1, Batch 14, Loss: 0.0000, Accuracy: 100.00%
Epoch 1, Batch 15, Loss: 0.0000, Accuracy: 100.00%
Epoch 1, Batch 16, Loss: 0.0000, Accuracy: 100.00%
Epoch 1, Batch 17, Loss: 0.0220, Accuracy: 0.00%
Epoch 1, Batch 18, Loss: 0.0000, Accuracy: 100.00%
Epoch 1, Batch 19, Loss: 0.0000, Accuracy: 100.00%
Epoch 1, Batch 20, Loss: 0.0150, Accuracy: 0.00%
Epoch 1, Batch 21, Loss: 0.0000, Accuracy: 100.00%
Epoch 1, Batch 22, Loss: 0.0000, Accuracy: 100.00%
Epoch 1, Batch 23, Loss: 0.3010, Accuracy: 0.00%
Epoch 1, Batch 24, Loss: 0.0010, Accuracy: 100.00%
Epoch 1, Batch 25, Loss: 0.0010, Accuracy: 100.00%
Epoch 1, Batch 26, Loss: 0.0010, Accuracy: 100.00%
Epoch 1, Batch 27, Loss: 0.0010, Accuracy: 100.00%
Epoch 1, Batch 28, Loss: 0.0010, Accuracy: 100.00%
Epoch 1, Batch 29, Loss: 0.0010, Accuracy: 100.00%
Epoch 1, Batch 30, Loss: 0.0010, Accuracy: 100.00%
Epoch 1, Batch 31, Loss: 0.0120, Accuracy: 0.00%
Epoch 1, Batch 32, Loss: 0.0010, Accuracy: 100.00%
Epoch 1, Batch 33, Loss: 0.0010, Accuracy: 100.00%
Epoch 1, Batch 34, Loss: 0.0010, Accuracy: 100.00%
Epoch 1, Batch 35, Loss: 0.0010, Accuracy: 100.00%
Epoch 1, Batch 36, Loss: 0.0010, Accuracy: 100.00%
Epoch 1, Batch 37, Loss: 0.0010, Accuracy: 100.00%
Epoch 1, Batch 38, Loss: 0.0120, Accuracy: 0.00%
Epoch 1, Batch 39, Loss: 0.1680, Accuracy: 0.00%
Epoch 1, Batch 40, Loss: 0.0010, Accuracy: 100.00%
Epoch 1, Batch 41, Loss: 0.0020, Accuracy: 100.00%
Epoch 1, Batch 42, Loss: 0.0020, Accuracy: 100.00%
Epoch 1, Batch 43, Loss: 0.0020, Accuracy: 100.00%
Epoch 1, Batch 44, Loss: 0.0020, Accuracy: 100.00%
Epoch 1, Batch 45, Loss: 0.0020, Accuracy: 100.00%
Epoch 1, Batch 46, Loss: 0.0020, Accuracy: 100.00%
Epoch 1, Batch 47, Loss: 0.0120, Accuracy: 0.00%
Epoch 1, Batch 48, Loss: 0.0120, Accuracy: 0.00%
Epoch 1, Batch 49, Loss: 0.0120, Accuracy: 0.00%
Epoch 1, Batch 50, Loss: 0.0020, Accuracy: 100.00%
Epoch 1, Batch 51, Loss: 0.0020, Accuracy: 100.00%
Epoch 1, Batch 52, Loss: 0.0020, Accuracy: 100.00%
Epoch 1, Batch 53, Loss: 0.0020, Accuracy: 100.00%
Epoch 1, Batch 54, Loss: 0.0020, Accuracy: 100.00%
Epoch 1, Batch 55, Loss: 0.0020, Accuracy: 100.00%
Epoch 1, Batch 56, Loss: 0.0120, Accuracy: 0.00%
Epoch 1, Batch 57, Loss: 0.0020, Accuracy: 100.00%
Epoch 1, Batch 58, Loss: 0.0020, Accuracy: 100.00%
Epoch 1, Batch 59, Loss: 0.0020, Accuracy: 100.00%
